저널명,SJR,랭킹
Nurse Education Today,1.483,2460
Schizophrenia,1.483,2461
Journal of Chemical Theory and Computation,1.482,2462
Histopathology,1.481,2463
IEEE Robotics and Automation Letters,1.481,2464
Medical Decision Making,1.481,2465
Bernoulli,1.480,2466
Journal of World Prehistory,1.480,2467
LWT,1.480,2468
Weather and Forecasting,1.480,2469
Arthritis Care and Research,1.479,2470
Frontiers in Aging Neuroscience,1.479,2471
Human Factors,1.479,2472
Science China Information Sciences,1.479,2473
Journal of Cell Science,1.479,2474
Advanced Electronic Materials,1.478,2475
Bioengineering and Translational Medicine,1.478,2476
Journal of Prosthodontics,1.478,2477
Australian Journal of Psychology,1.477,2478
Current Osteoporosis Reports,1.477,2479
International Journal of Mental Health and Addiction,1.477,2480
Journal of Learning Disabilities,1.477,2481
Phytotherapy Research,1.477,2482
Journal of Hospitality and Tourism Technology,1.476,2483
Plant Cell Reports,1.475,2484
European Research on Management and Business Economics,1.473,2485
Journal of Geophysical Research: Earth Surface,1.473,2486
Journal of Molecular Medicine,1.473,2487
Nutrients,1.473,2488
Process Safety and Environmental Protection,1.473,2489
Annals of Physical and Rehabilitation Medicine,1.472,2490
Chronic Stress,1.472,2491
Clinical and Translational Immunology,1.472,2492
Frontiers in Endocrinology,1.472,2493
Journal of ISAKOS,1.472,2494
Neuro-Oncology Advances,1.472,2495
Sleep Medicine Clinics,1.472,2496
IEEE Transactions on Instrumentation and Measurement,1.471,2497
Journal of Fluid Mechanics,1.471,2498
Neurocomputing,1.471,2499
Resources Chemicals and Materials,1.471,2500
Asia Pacific Journal of Management,1.470,2501
Cancer Biology and Medicine,1.470,2502
European Journal of Ageing,1.470,2503
Review of International Studies,1.470,2504
American Journal of Roentgenology,1.469,2505
Cell Stress,1.469,2506
Nursing Ethics,1.469,2507
Pathologica,1.469,2508
Social Cognitive and Affective Neuroscience,1.469,2509
Environment and Planning E: Nature and Space,1.468,2510
Applied Surface Science Advances,1.467,2511
Cultural Diversity and Ethnic Minority Psychology,1.467,2512
Innovation: Organization and Management,1.467,2513
Journal of Chemical Information and Modeling,1.467,2514
Radiology: Cardiothoracic Imaging,1.467,2515
Environmental Modelling and Software,1.466,2516
Osteoporosis International,1.466,2517
Annals of General Psychiatry,1.465,2518
Frontiers in Neural Circuits,1.465,2519
American Journal of Physiology - Heart and Circulatory Physiology,1.464,2520
IEEE Transactions on Information Theory,1.464,2521
ISPRS Open Journal of Photogrammetry and Remote Sensing,1.463,2522
Cancers,1.462,2523
International Journal of Coal Science and Technology,1.461,2524
Journal of Substance Use and Addiction Treatment,1.461,2525
Applications in Energy and Combustion Science,1.460,2526
Journal of Racial and Ethnic Health Disparities,1.460,2527
Annals of the New York Academy of Sciences,1.458,2528
"Anxiety, Stress and Coping",1.458,2529
Philosophers Imprint,1.458,2530
Physical Review D,1.458,2531
Seminars in Liver Disease,1.457,2532
Applied Soil Ecology,1.456,2533
Archives of Toxicology,1.456,2534
Environmental Science: Processes and Impacts,1.456,2535
Health and Place,1.456,2536
Attachment and Human Development,1.455,2537
Educational Policy,1.455,2538
El-Mashlahah,1.455,2539
Frontiers in Aging,1.455,2540
General Hospital Psychiatry,1.455,2541
European Eating Disorders Review,1.454,2542
Journal of Environmental Chemical Engineering,1.454,2543
Journal of Exposure Science and Environmental Epidemiology,1.454,2544
Psychoneuroendocrinology,1.454,2545
Sociology of Race and Ethnicity,1.454,2546
Economica,1.453,2547
Population Health Metrics,1.453,2548
Forum Geografi,1.452,2549
International Journal of Logistics Research and Applications,1.452,2550
Journal of Career Assessment,1.452,2551
Journal of Pharmaceutical Analysis,1.452,2552
Wiley Interdisciplinary Reviews: Computational Statistics,1.452,2553
Nutrition Research Reviews,1.451,2554
Advanced Agrochem,1.450,2555
Cerebral Cortex,1.450,2556
Journal of Research in Crime and Delinquency,1.450,2557
Proceedings of the Royal Society B: Biological Sciences,1.450,2558
Psychology of Sport and Exercise,1.450,2559
Psychotherapy,1.450,2560
Computing and Software for Big Science,1.449,2561
Seminars in Hematology,1.449,2562
"Sustainability Accounting, Management and Policy Journal",1.449,2563
Hematology. American Society of Hematology. Education Program,1.448,2564
JAMA Otolaryngology - Head and Neck Surgery,1.448,2565
Computers in Biology and Medicine,1.447,2566
European Journal of Social Psychology,1.447,2567
IEEE Transactions on Software Engineering,1.447,2568
Neurobiology of Aging,1.447,2569
Academic Medicine,1.446,2570
Perspectives in Ecology and Conservation,1.446,2571
Computers and Security,1.445,2572
Games and Economic Behavior,1.445,2573
Revista de Investigacoes Constitucionais,1.445,2574
Topics in Current Chemistry,1.445,2575
Green Synthesis and Catalysis,1.444,2576
Materials Chemistry Frontiers,1.444,2577
Journal of Geovisualization and Spatial Analysis,1.442,2578
Medicine and Science in Sports and Exercise,1.442,2579
Applied Psychology: Health and Well-Being,1.441,2580
IEEE Transactions on Services Computing,1.441,2581
Open Forum Infectious Diseases,1.441,2582
Atmospheric Research,1.440,2583
Chinese Journal of Aeronautics,1.440,2584
Digital Communications and Networks,1.440,2585
European Journal of Teacher Education,1.440,2586
Sociological Methodology,1.440,2587
Diabetic Medicine,1.439,2588
Information Technology for Development,1.439,2589
INFORMS Journal on Computing,1.439,2590
International Journal of Bank Marketing,1.439,2591
Medical Education,1.439,2592
Journal of Biogeography,1.438,2593
Journal of Translational Internal Medicine,1.438,2594
Oikos,1.438,2595
Bulletin of Volcanology,1.437,2596
Developmental Neurobiology,1.437,2597
Journal of Economic Behavior and Organization,1.437,2598
Journal of Esthetic and Restorative Dentistry,1.437,2599
Machine Learning and Knowledge Extraction,1.437,2600
National Tax Journal,1.437,2601
Quality of Life Research,1.436,2602
Thrombosis and Haemostasis,1.436,2603
Cancer Research and Treatment,1.434,2604
Pulmonology,1.434,2605
Environmental Technology and Innovation,1.433,2606
Adversity and Resilience Science,1.432,2607
Archives of Suicide Research,1.432,2608
Biochimica et Biophysica Acta - Molecular Basis of Disease,1.432,2609
Global Business and Organizational Excellence,1.432,2610
Journal of Geophysical Research: Biogeosciences,1.432,2611
Suicide and Life-Threatening Behavior,1.432,2612
Antimicrobial Agents and Chemotherapy,1.431,2613
Global and Planetary Change,1.431,2614
IEEE Transactions on Artificial Intelligence,1.431,2615
Phytochemistry Reviews,1.431,2616
Journal of the American Medical Directors Association,1.430,2617
Educational Technology Research and Development,1.429,2618
International Journal of Thermofluids,1.429,2619
Journal of Automation and Intelligence,1.429,2620
Psychosocial Intervention,1.429,2621
Journal of Hospitality and Tourism Research,1.428,2622
Planning Theory,1.428,2623
Journal of Hepato-Biliary-Pancreatic Sciences,1.427,2624
Precambrian Research,1.427,2625
Safety Science,1.427,2626
Governance,1.426,2627
Headache,1.426,2628
Journal of Interpersonal Violence,1.426,2629
Canadian Journal of Psychiatry,1.425,2630
Journal of Cataract and Refractive Surgery,1.425,2631
Journal of Immunology,1.425,2632
Matrix Biology Plus,1.425,2633
"Journal of Law, Economics, and Organization",1.424,2634
Mass Communication and Society,1.424,2635
Operations Management Research,1.424,2636
Angle Orthodontist,1.423,2637
Social Science Research,1.423,2638
Political Research Quarterly,1.422,2639
Review of Income and Wealth,1.422,2640
Applied Materials Today,1.421,2641
Current Heart Failure Reports,1.421,2642
EPMA Journal,1.421,2643
Journal of Future Foods,1.421,2644
Cognitive Behaviour Therapy,1.420,2645
Journal of Comparative Economics,1.420,2646
Economic Theory,1.419,2647
Health Communication,1.419,2648
Journal of Climate Finance,1.419,2649
Journal of Ginseng Research,1.419,2650
Personality and Individual Differences,1.419,2651
Urban Geography,1.419,2652
Communication and Sport,1.418,2653
World Journal of Gastroenterology,1.418,2654
Annual Review of Applied Linguistics,1.417,2655
Economic Modelling,1.417,2656
International Journal of Urban and Regional Research,1.417,2657
Composites Communications,1.416,2658
Mineral Processing and Extractive Metallurgy Review,1.416,2659
British Journal of Health Psychology,1.415,2660
Lung Cancer: Targets and Therapy,1.415,2661
Research in International Business and Finance,1.415,2662
Scientific Studies of Reading,1.415,2663
Security Studies,1.414,2664
Autoimmunity Highlights,1.413,2665
Cleaner Environmental Systems,1.413,2666
Journal of Evolution Equations,1.413,2667
Policy and Politics,1.413,2668
Environment and Planning D: Society and Space,1.412,2669
International Forum of Allergy and Rhinology,1.412,2670
Journal of Archaeological Method and Theory,1.412,2671
Stress and Health,1.412,2672
Electronic Commerce Research and Applications,1.411,2673
International Journal of Manpower,1.411,2674
Regional Anesthesia and Pain Medicine,1.411,2675
ACS Nanoscience Au,1.410,2676
Bioinformatics Advances,1.410,2677
Current Nutrition Reports,1.410,2678
Design Studies,1.410,2679
Industry and Innovation,1.410,2680
International Journal of Bilingual Education and Bilingualism,1.410,2681
Redox Report,1.410,2682
Thinking Skills and Creativity,1.410,2683
Harm Reduction Journal,1.409,2684
Revista Matematica Iberoamericana,1.409,2685
Current Research in Food Science,1.408,2686
Education Finance and Policy,1.408,2687
Public Health Reports,1.408,2688
Technometrics,1.408,2689
Translational Oncology,1.408,2690
Emotion Review,1.407,2691
European Journal of Psychological Assessment,1.407,2692
European Sport Management Quarterly,1.407,2693
MicroLife,1.407,2694
Research on Child and Adolescent Psychopathology,1.407,2695
Syntax,1.407,2696
Plant Reproduction,1.406,2697
Structural Change and Economic Dynamics,1.406,2698
Evolutionary Anthropology,1.405,2699
Housing Policy Debate,1.405,2700
International Journal for Educational Integrity,1.405,2701
Journal of Geophysical Research: Oceans,1.405,2702
Politics and Gender,1.405,2703
Emerging Markets Review,1.404,2704
Australasian Marketing Journal,1.403,2705
ESC Heart Failure,1.403,2706
Journal of Urban Mobility,1.403,2707
Regulation and Governance,1.403,2708
Canadian Geotechnical Journal,1.402,2709
Journal of Cancer Survivorship,1.402,2710
Marine Pollution Bulletin,1.402,2711
Heart Failure Reviews,1.401,2712
Indiana University Mathematics Journal,1.401,2713
Lupus Science and Medicine,1.401,2714
Materials Today Electronics,1.401,2715
Renewable and Sustainable Energy Transition,1.401,2716
American Journal of Nephrology,1.400,2717
JCPP Advances,1.400,2718
Nature-Based Solutions,1.400,2719
"Proteins: Structure, Function and Bioinformatics",1.400,2720
SIAM Journal on Computing,1.400,2721
Vehicle System Dynamics,1.399,2722
Dianli Xitong Zidonghua/Automation of Electric Power Systems,1.398,2723
European Journal of Combinatorics,1.398,2724
Journal of Advanced Nursing,1.398,2725
Prevention Science,1.398,2726
Sensors International,1.398,2727
Smart Cities,1.398,2728
Chemical Record,1.397,2729
European Journal of Innovation Management,1.397,2730
Journal of Diabetes Science and Technology,1.397,2731
Molecular Neurobiology,1.397,2732
Natural Gas Industry,1.397,2733
Artificial Intelligence in Medicine,1.396,2734
Food Science and Human Wellness,1.396,2735
Review of Economics of the Household,1.395,2736
Chemical Geology,1.394,2737
IEEE/ACM Transactions on Networking,1.394,2738
International Journal of Human Computer Studies,1.394,2739
Journal of Physical Chemistry Letters,1.394,2740
Ocean Engineering,1.394,2741
Structural Control and Health Monitoring,1.394,2742
Acta Ophthalmologica,1.393,2743
Clinical Kidney Journal,1.393,2744
Frontiers in Cellular and Infection Microbiology,1.393,2745
International Journal of Life Cycle Assessment,1.393,2746
Journal of Human Evolution,1.393,2747
American Journal of Physiology - Endocrinology and Metabolism,1.392,2748
Conflict and Health,1.392,2749
Ocean Science,1.392,2750
Earth Systems and Environment,1.391,2751
Geography Compass,1.391,2752
Neuroepidemiology,1.391,2753
Plant and Cell Physiology,1.391,2754
American Journal of Physiology - Gastrointestinal and Liver Physiology,1.390,2755
Journal of Phonetics,1.390,2756
Obesity Facts,1.390,2757
Inflammation Research,1.388,2758
JACC: Advances,1.388,2759
Journalism Practice,1.388,2760
Philosophical Quarterly,1.388,2761
SIAM Journal on Optimization,1.388,2762
Nonlinear Analysis: Hybrid Systems,1.387,2763
Psychology of Religion and Spirituality,1.387,2764
Biomaterials Translational,1.386,2765
Carbon Resources Conversion,1.386,2766
MRS Bulletin,1.386,2767
Complex System Modeling and Simulation,1.385,2768
Journal of Healthcare Informatics Research,1.385,2769
Motivation Science,1.385,2770
"Resources, Conservation and Recycling Advances",1.385,2771
Review of International Organizations,1.385,2772
International Journal of Behavioral Development,1.384,2773
Journal of Telemedicine and Telecare,1.384,2774
ACS Chemical Biology,1.383,2775
Asia Pacific Journal of Human Resources,1.383,2776
Computational Communication Research,1.383,2777
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",1.383,2778
Environmental Evidence,1.382,2779
Journal of General Physiology,1.382,2780
Journal of the American Taxation Association,1.382,2781
Current Opinion in Colloid and Interface Science,1.381,2782
Environmental and Resource Economics,1.381,2783
European Accounting Review,1.381,2784
Human Genomics,1.381,2785
Human-Machine Communication,1.381,2786
International Journal of Molecular Medicine,1.381,2787
Social Movement Studies,1.381,2788
Therapeutic Advances in Endocrinology and Metabolism,1.381,2789
Drug Delivery,1.380,2790
AAPPS Bulletin,1.379,2791
Perspectives on Medical Education,1.379,2792
ACS Applied Energy Materials,1.378,2793
American Journal of Geriatric Psychiatry,1.378,2794
Arthroplasty,1.378,2795
"Sustainable Energy, Grids and Networks",1.378,2796
American Journal of Education,1.377,2797
Best Practice and Research: Clinical Obstetrics and Gynaecology,1.377,2798
Grain and Oil Science and Technology,1.377,2799
International Journal of Food Contamination,1.377,2800
International Political Science Review,1.377,2801
Journal of Cellular Physiology,1.377,2802
Journal of Global Economic Analysis,1.377,2803
Tribology International,1.377,2804
Advanced Membranes,1.376,2805
Bone and Joint Research,1.376,2806
Disability and Health Journal,1.376,2807
Investigative Ophthalmology and Visual Science,1.376,2808
Neurology and Therapy,1.376,2809
BMC Psychiatry,1.375,2810
British Journal of Industrial Relations,1.375,2811
Foot and Ankle International,1.375,2812
Australasian Journal of Philosophy,1.374,2813
Journal of Research in Personality,1.374,2814
Social Science Computer Review,1.374,2815
Journal of Nanostructure in Chemistry,1.373,2816
Biostatistics,1.372,2817
Health Policy and Planning,1.372,2818
International Review of Economics and Finance,1.372,2819
Journal of Artificial Intelligence Research,1.372,2820
Oil and Gas Geology,1.372,2821
Ophthalmology Glaucoma,1.372,2822
British Journal of General Practice,1.371,2823
Health Expectations,1.371,2824
British Journal of Psychology,1.370,2825
Data Science and Management,1.370,2826
International Psychogeriatrics,1.370,2827
Journal of Tissue Engineering,1.370,2828
PLoS Neglected Tropical Diseases,1.370,2829
Psychology of Addictive Behaviors,1.370,2830
Therapeutic Advances in Gastroenterology,1.370,2831
Plant Phenomics,1.369,2832
Immune Network,1.368,2833
Railway Engineering Science,1.368,2834
Cephalalgia,1.367,2835
ERJ Open Research,1.367,2836
International Journal of Accounting Information Systems,1.367,2837
Journal of Mathematics Teacher Education,1.367,2838
Liver Transplantation,1.367,2839
Science Education,1.367,2840
Chinese Medical Journal Pulmonary and Critical Care Medicine,1.366,2841
Personnel Review,1.366,2842
Second Language Research,1.366,2843
Sports Health,1.366,2844
American Journal of Community Psychology,1.365,2845
Cardiac Failure Review,1.365,2846
GPS Solutions,1.365,2847
Materials Today Sustainability,1.365,2848
Genes Chromosomes and Cancer,1.364,2849
International Nursing Review,1.364,2850
Journal of Services Marketing,1.364,2851
American Journal of Physiology - Renal Fluid and Electrolyte Physiology,1.363,2852
Health Policy,1.363,2853
iScience,1.363,2854
Postharvest Biology and Technology,1.363,2855
ACM Transactions on Intelligent Systems and Technology,1.362,2856
Evolutionary Applications,1.362,2857
Physics of the Dark Universe,1.362,2858
Farming System,1.361,2859
Health Technology Assessment,1.361,2860
Journal of Diversity in Higher Education,1.361,2861
Journal of the Learning Sciences,1.361,2862
Materials for Quantum Technology,1.361,2863
Behavioral and Brain Functions,1.360,2864
International Journal for the Psychology of Religion,1.360,2865
Journal of Geriatric Oncology,1.360,2866
Journal of Research in Science Teaching,1.360,2867
Advances in Health Sciences Education,1.359,2868
BMC Public Health,1.359,2869
Resilient Cities and Structures,1.359,2870
eGastroenterology,1.358,2871
Chinese Journal of Communication,1.357,2872
Journal of King Saud University - Computer and Information Sciences,1.357,2873
Journal of Pain,1.357,2874
Journal of Wind Engineering and Industrial Aerodynamics,1.357,2875
Progress in Oceanography,1.357,2876
Advanced Sustainable Systems,1.356,2877
Aging and Mental Health,1.356,2878
Energy Storage and Saving,1.356,2879
School Effectiveness and School Improvement,1.356,2880
Tourism Geographies,1.356,2881
Educational Psychology,1.355,2882
Electronic Journal of Probability,1.355,2883
Evolution and Human Behavior,1.355,2884
International Journal of Tourism Research,1.355,2885
Proceedings of the Custom Integrated Circuits Conference,1.355,2886
Archives of Disease in Childhood: Fetal and Neonatal Edition,1.354,2887
Decision Analytics Journal,1.354,2888
International Journal of Entrepreneurial Behaviour and Research,1.354,2889
Journal of Neurosurgery,1.354,2890
Orthopaedics and Traumatology: Surgery and Research,1.354,2891
Elementa,1.353,2892
Entrepreneurship and Regional Development,1.353,2893
New Directions for Child and Adolescent Development,1.353,2894
Cell Regeneration,1.352,2895
Development and Change,1.352,2896
Information Systems Management,1.352,2897
International Entrepreneurship and Management Journal,1.352,2898
Journal of Sport Management,1.352,2899
Macromolecules,1.352,2900
Public Relations Review,1.352,2901
Breast Cancer Research and Treatment,1.351,2902
EvoDevo,1.351,2903
Health Economics (United Kingdom),1.351,2904
Journal of Mining Institute,1.351,2905
Mathematical Programming Computation,1.351,2906
Sedimentology,1.351,2907
JMIR Aging,1.350,2908
Science Communication,1.350,2909
Environmental Policy and Governance,1.349,2910
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1.349,2911
Journal of Quantitative Criminology,1.349,2912
Journal of Structural Engineering,1.349,2913
Mathematics of Operations Research,1.349,2914
Rice,1.349,2915
Clinics in Liver Disease,1.348,2916
IEEE Transactions on Circuits and Systems II: Express Briefs,1.348,2917
Journal of Experimental Psychology: Applied,1.348,2918
Journal of Scientific Computing,1.348,2919
Journal of the Medical Library Association,1.348,2920
Journal of Water Process Engineering,1.348,2921
Natural Hazards and Earth System Sciences,1.348,2922
Therapeutic Advances in Musculoskeletal Disease,1.348,2923
British Journal of Sociology,1.347,2924
Journal of Huntington's Disease,1.347,2925
European Journal of Nutrition,1.346,2926
Exercise and Sport Sciences Reviews,1.346,2927
Agricultural Economics (United Kingdom),1.345,2928
Clinical Chemistry,1.345,2929
Environmental Microbiology,1.345,2930
Geoforum,1.345,2931
IEEE Circuits and Systems Magazine,1.345,2932
International Journal of Systems Science,1.345,2933
Crop and Environment,1.344,2934
Gut and Liver,1.344,2935
Stem Cell Investigation,1.344,2936
Economy and Society,1.343,2937
European Physical Journal C,1.343,2938
Philosophical Studies,1.343,2939
Renewable Energy Focus,1.343,2940
Cancer Prevention Research,1.342,2941
Current Opinion in Lipidology,1.342,2942
European Security,1.342,2943
Geopolitics,1.342,2944
School Mental Health,1.342,2945
Clinical and Translational Allergy,1.341,2946
European Psychologist,1.341,2947
"Psychology and Psychotherapy: Theory, Research and Practice",1.341,2948
International Journal of Selection and Assessment,1.340,2949
"Sport, Education and Society",1.340,2950
Clinical Orthopaedics and Related Research,1.339,2951
Minds and Machines,1.339,2952
Stress Biology,1.339,2953
Structural and Multidisciplinary Optimization,1.339,2954
2D Materials,1.338,2955
Materials Characterization,1.338,2956
Medical Care Research and Review,1.338,2957
Occupational and Environmental Medicine,1.338,2958
Journal of Evidence-Based Dental Practice,1.337,2959
Nuclear Fusion,1.337,2960
Precision Agriculture,1.337,2961
Research Papers in Education,1.337,2962
Frontiers in Molecular Neuroscience,1.337,2963
Internet Interventions,1.336,2964
Journal of Leukocyte Biology,1.336,2965
Patient,1.336,2966
Asterisque,1.335,2967
BMC Geriatrics,1.335,2968
Current Treatment Options in Oncology,1.335,2969
La Rivista del Nuovo Cimento,1.335,2970
Big Data Mining and Analytics,1.334,2971
Contraception,1.334,2972
Journals of Gerontology - Series A Biological Sciences and Medical Sciences,1.334,2973
Quaternary Science Reviews,1.334,2974
Sport Marketing Quarterly,1.334,2975
Accounting Horizons,1.333,2976
Biomolecules,1.333,2977
Journal of Clinical Anesthesia,1.333,2978
Journal of Economic Psychology,1.333,2979
Journal of Environmental Informatics,1.333,2980
European Heart Journal: Acute Cardiovascular Care,1.332,2981
International Journal of Retail and Distribution Management,1.332,2982
Journal of Chinese Political Science,1.332,2983
BMJ Open Sport and Exercise Medicine,1.330,2984
"Cyberpsychology, Behavior, and Social Networking",1.330,2985
International Political Sociology,1.330,2986
Journal of New Approaches in Educational Research,1.330,2987
Journalism and Mass Communication Quarterly,1.330,2988
Oncology and Therapy,1.330,2989
BioFactors,1.329,2990
Clinical Neurophysiology,1.329,2991
Family Process,1.329,2992
Frontiers in Genome Editing,1.329,2993
Landscape Ecology,1.329,2994
Digital Business,1.328,2995
High Voltage,1.328,2996
IEEE Transactions on Biomedical Circuits and Systems,1.327,2997
Journal of Consumer Behaviour,1.327,2998
Mathematical Finance,1.327,2999
Peritoneal Dialysis International,1.327,3000
Teaching in Higher Education,1.327,3001
Borsa Istanbul Review,1.326,3002
Counselling and Psychotherapy Research,1.326,3003
Geo-Spatial Information Science,1.326,3004
IEEE Intelligent Systems,1.326,3005
Journal of Psychiatry and Neuroscience,1.326,3006
Oral Oncology,1.326,3007
Remedial and Special Education,1.326,3008
Socio-Economic Planning Sciences,1.326,3009
Health Research Policy and Systems,1.325,3010
International Journal of Bipolar Disorders,1.325,3011
Transplantation,1.325,3012
Gifted Child Quarterly,1.324,3013
Journal of Periodontology,1.324,3014
Marine Structures,1.324,3015
Seminars in Nuclear Medicine,1.324,3016
Soil Dynamics and Earthquake Engineering,1.324,3017
Cortex,1.323,3018
International Journal of Infectious Diseases,1.323,3019
Journal of Hydrology: Regional Studies,1.323,3020
Journal of Clinical Nursing,1.322,3021
Neurorehabilitation and Neural Repair,1.322,3022
Plant Physiology and Biochemistry,1.322,3023
Electronic Journal of Statistics,1.321,3024
Journal of Combinatorial Theory. Series A,1.321,3025
Journal of Ethnic and Migration Studies,1.321,3026
Journal of Informetrics,1.321,3027
Journal of Public Relations Research,1.320,3028
Small Group Research,1.320,3029
FASEB Journal,1.319,3030
Forest Ecology and Management,1.319,3031
Journal of Contextual Behavioral Science,1.319,3032
Journal of Science and Medicine in Sport,1.319,3033
DMM Disease Models and Mechanisms,1.318,3034
Feminist Economics,1.318,3035
Geobiology,1.318,3036
Journal of Materials Research and Technology,1.318,3037
Women and Birth,1.318,3038
Blockchain: Research and Applications,1.317,3039
Current Research in Pharmacology and Drug Discovery,1.317,3040
Academic Pediatrics,1.316,3041
Advanced Devices and Instrumentation,1.316,3042
Journal of the International Society of Sports Nutrition,1.316,3043
SIAM Journal on Control and Optimization,1.316,3044
Clinical Implant Dentistry and Related Research,1.315,3045
Journal of Neurosurgery: Spine,1.315,3046
Journal of the American Academy of Dermatology,1.315,3047
Life Sciences,1.315,3048
Plant Stress,1.315,3049
Antibody Therapeutics,1.314,3050
Solar Energy,1.314,3051
American Journal of Pathology,1.313,3052
Applied Geography,1.313,3053
Atmospheric Measurement Techniques,1.313,3054
Hippocampus,1.313,3055
International Journal of Hygiene and Environmental Health,1.313,3056
Bipolar Disorders,1.312,3057
Emerging Themes in Epidemiology,1.312,3058
Carbon Balance and Management,1.311,3059
Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development,1.311,3060
Applied Surface Science,1.310,3061
AVS Quantum Science,1.310,3062
European Journal of Soil Science,1.310,3063
IEEE Transactions on Neural Systems and Rehabilitation Engineering,1.310,3064
Journal of Risk and Insurance,1.310,3065
Journal of Women's Health,1.310,3066
Pacific Basin Finance Journal,1.310,3067
Sociology Compass,1.310,3068
Applied Psycholinguistics,1.309,3069
Coastal Engineering,1.309,3070
Control Engineering Practice,1.309,3071
Clinical and Experimental Immunology,1.308,3072
Endocrinology,1.308,3073
GeoHealth,1.308,3074
Journal of Constructional Steel Research,1.308,3075
Journal of Psychosomatic Research,1.308,3076
Journal of Tourism Futures,1.308,3077
Preslia,1.308,3078
Veterinary Quarterly,1.308,3079
AAPS Journal,1.307,3080
Clinical and Experimental Metastasis,1.307,3081
European Physical Education Review,1.306,3082
International Journal of Nanomedicine,1.306,3083
International Marketing Review,1.306,3084
Journal of Educational Change,1.306,3085
Journal of the National Cancer Institute - Monographs,1.306,3086
Trends in Parasitology,1.306,3087
Virginia Law Review,1.306,3088
Clinical Pharmacokinetics,1.305,3089
Current Opinion in Pharmacology,1.304,3090
Higher Education Research and Development,1.304,3091
Journal of International Money and Finance,1.304,3092
European Journal of Pain,1.303,3093
Metaphor and Symbol,1.303,3094
Philosophical Topics,1.303,3095
Physical Review B,1.303,3096
BJPsych Open,1.302,3097
Chemical and Biomedical Imaging,1.302,3098
ELT Journal,1.302,3099
"Facta Universitatis, Series: Mechanical Engineering",1.301,3100
Frontiers of Engineering Management,1.301,3101
School Psychology,1.301,3102
Tissue Engineering - Part B: Reviews,1.301,3103
Proceedings - International Conference on Software Engineering,1.301,3104
Journal of European Integration,1.300,3105
Journal of Information Technology and Politics,1.300,3106
Journal of Molecular Cell Biology,1.300,3107
Journal of the European Ceramic Society,1.300,3108
BioEssays,1.299,3109
Collabra: Psychology,1.299,3110
International Journal of Heat and Mass Transfer,1.299,3111
International Journal of Sustainable Transportation,1.299,3112
Journal of Vacation Marketing,1.299,3113
European Journal of Psychology of Education,1.298,3114
IEEE Open Journal of Vehicular Technology,1.298,3115
European Journal of Communication,1.297,3116
IEEE Journal on Selected Areas in Information Theory,1.297,3117
Neurospine,1.297,3118
Social Psychology of Education,1.297,3119
Computers and Structures,1.296,3120
European Journal of Agronomy,1.296,3121
Frontiers in Systems Neuroscience,1.296,3122
IEEE Open Journal of Intelligent Transportation Systems,1.296,3123
International Journal of Heart Failure,1.296,3124
Journal of Neurodevelopmental Disorders,1.296,3125
Juris: Jurnal Ilmiah Syariah,1.296,3126
American Journal of Obstetrics and Gynecology MFM,1.295,3127
Movement Ecology,1.295,3128
Social Psychology Quarterly,1.295,3129
"Allergy, Asthma and Immunology Research",1.294,3130
Annals of Botany,1.294,3131
Human Resource Development Quarterly,1.294,3132
Journal of Economic Inequality,1.294,3133
Journal of Lightwave Technology,1.294,3134
Journal of Molecular Diagnostics,1.294,3135
Journal of Neuroendocrinology,1.294,3136
Mass Spectrometry Reviews,1.294,3137
Biocybernetics and Biomedical Engineering,1.293,3138
Social Studies of Science,1.293,3139
International Journal of Social Psychiatry,1.292,3140
World Journal of Biological Psychiatry,1.292,3141
Animal Microbiome,1.291,3142
Applied Health Economics and Health Policy,1.291,3143
Cognitive Research: Principles and Implications,1.291,3144
Environment and Planning C: Politics and Space,1.291,3145
Journal of Medical Virology,1.291,3146
Physiologia Plantarum,1.291,3147
Studies in Educational Evaluation,1.291,3148
Tunisian Journal of Mathematics,1.291,3149
Molecular Biology of the Cell,1.291,3150
Anthropocene Review,1.290,3151
Journal of Trauma and Acute Care Surgery,1.290,3152
Science Technology and Human Values,1.290,3153
JMIR Public Health and Surveillance,1.289,3154
Micro and Nano Systems Letters,1.289,3155
Environmental Advances,1.288,3156
Journal of Clinical Psychology,1.288,3157
Physical Review Applied,1.288,3158
Research and Practice for Persons with Severe Disabilities,1.288,3159
AMS Review,1.288,3160
ACS Macro Letters,1.287,3161
Financial Innovation,1.287,3162
JID Innovations,1.287,3163
Journal of Molecular Endocrinology,1.287,3164
Journal of NeuroEngineering and Rehabilitation,1.287,3165
Journal of Personality Assessment,1.287,3166
Stem Cells,1.287,3167
Advances in Anatomic Pathology,1.286,3168
Environmental and Sustainability Indicators,1.286,3169
Journal of Intensive Care,1.286,3170
Law and Society Review,1.286,3171
Advances in Differential Equations,1.285,3172
Clinical and Translational Gastroenterology,1.285,3173
Global Networks,1.285,3174
International Journal of Biological Macromolecules,1.285,3175
Journal of Geographical Sciences,1.285,3176
Journal of Immunotherapy and Precision Oncology,1.285,3177
Sleep Health,1.285,3178
American Journal of Bioethics,1.284,3179
